#globch	roc	feb	febch	mapmt	pixel	xcoord	ycoord	xbin	ybin	trb	trbch
#--------------------------------------------------------------------------------------------
0	0	0	0	1	1	52.4375	220.438	7	31	0	0
1	0	0	1	1	5	27.9375	220.438	3	31	0	0
2	0	0	2	1	3	40.1875	220.438	5	31	0	0
3	0	0	3	1	7	15.6875	220.438	1	31	0	0
4	0	0	4	1	2	46.3125	220.438	6	31	0	0
5	0	0	5	1	6	21.8125	220.438	2	31	0	0
6	0	0	6	1	4	34.0625	220.438	4	31	0	0
7	0	0	7	1	8	9.5625	220.438	0	31	0	0
8	0	0	8	1	9	52.4375	214.312	7	30	0	0
9	0	0	9	1	13	27.9375	214.312	3	30	0	0
10	0	0	10	1	11	40.1875	214.312	5	30	0	0
11	0	0	11	1	15	15.6875	214.312	1	30	0	0
12	0	0	12	1	10	46.3125	214.312	6	30	0	0
13	0	0	13	1	14	21.8125	214.312	2	30	0	0
14	0	0	14	1	12	34.0625	214.312	4	30	0	0
15	0	0	15	1	16	9.5625	214.312	0	30	0	0
16	0	0	16	1	17	52.4375	208.188	7	29	0	0
17	0	0	17	1	21	27.9375	208.188	3	29	0	0
18	0	0	18	1	19	40.1875	208.188	5	29	0	0
19	0	0	19	1	23	15.6875	208.188	1	29	0	0
20	0	0	20	1	18	46.3125	208.188	6	29	0	0
21	0	0	21	1	22	21.8125	208.188	2	29	0	0
22	0	0	22	1	20	34.0625	208.188	4	29	0	0
23	0	0	23	1	24	9.5625	208.188	0	29	0	0
24	0	0	24	1	25	52.4375	202.062	7	28	0	0
25	0	0	25	1	29	27.9375	202.062	3	28	0	0
26	0	0	26	1	27	40.1875	202.062	5	28	0	0
27	0	0	27	1	31	15.6875	202.062	1	28	0	0
28	0	0	28	1	26	46.3125	202.062	6	28	0	0
29	0	0	29	1	30	21.8125	202.062	2	28	0	0
30	0	0	30	1	28	34.0625	202.062	4	28	0	0
31	0	0	31	1	32	9.5625	202.062	0	28	0	0
32	0	0	32	1	33	52.4375	195.938	7	27	0	0
33	0	0	33	1	37	27.9375	195.938	3	27	0	0
34	0	0	34	1	35	40.1875	195.938	5	27	0	0
35	0	0	35	1	39	15.6875	195.938	1	27	0	0
36	0	0	36	1	34	46.3125	195.938	6	27	0	0
37	0	0	37	1	38	21.8125	195.938	2	27	0	0
38	0	0	38	1	36	34.0625	195.938	4	27	0	0
39	0	0	39	1	40	9.5625	195.938	0	27	0	0
40	0	0	40	1	41	52.4375	189.812	7	26	0	0
41	0	0	41	1	45	27.9375	189.812	3	26	0	0
42	0	0	42	1	43	40.1875	189.812	5	26	0	0
43	0	0	43	1	47	15.6875	189.812	1	26	0	0
44	0	0	44	1	42	46.3125	189.812	6	26	0	0
45	0	0	45	1	46	21.8125	189.812	2	26	0	0
46	0	0	46	1	44	34.0625	189.812	4	26	0	0
47	0	0	47	1	48	9.5625	189.812	0	26	0	0
48	0	0	48	1	49	52.4375	183.688	7	25	0	0
49	0	0	49	1	53	27.9375	183.688	3	25	0	0
50	0	0	50	1	51	40.1875	183.688	5	25	0	0
51	0	0	51	1	55	15.6875	183.688	1	25	0	0
52	0	0	52	1	50	46.3125	183.688	6	25	0	0
53	0	0	53	1	54	21.8125	183.688	2	25	0	0
54	0	0	54	1	52	34.0625	183.688	4	25	0	0
55	0	0	55	1	56	9.5625	183.688	0	25	0	0
56	0	0	56	1	57	52.4375	177.562	7	24	0	0
57	0	0	57	1	61	27.9375	177.562	3	24	0	0
58	0	0	58	1	59	40.1875	177.562	5	24	0	0
59	0	0	59	1	63	15.6875	177.562	1	24	0	0
60	0	0	60	1	58	46.3125	177.562	6	24	0	0
61	0	0	61	1	62	21.8125	177.562	2	24	0	0
62	0	0	62	1	60	34.0625	177.562	4	24	0	0
63	0	0	63	1	64	9.5625	177.562	0	24	0	0
64	0	0	64	2	1	52.4375	166.438	7	23	0	0
65	0	0	65	2	5	27.9375	166.438	3	23	0	0
66	0	0	66	2	3	40.1875	166.438	5	23	0	0
67	0	0	67	2	7	15.6875	166.438	1	23	0	0
68	0	0	68	2	2	46.3125	166.438	6	23	0	0
69	0	0	69	2	6	21.8125	166.438	2	23	0	0
70	0	0	70	2	4	34.0625	166.438	4	23	0	0
71	0	0	71	2	8	9.5625	166.438	0	23	0	0
72	0	0	72	2	9	52.4375	160.312	7	22	0	0
73	0	0	73	2	13	27.9375	160.312	3	22	0	0
